project_id,actual,size,actualPF,f1,f2,f3,f4,f5,f6,f7,f8
45,3096,129,24,3,2,4,4,3,4,2,1
46,2384,149,16,3,4,3,3,3,3,2,0
47,3528,196,18,4,5,3,3,4,3,3,0
48,4992,208,24,4,4,4,2,4,3,3,0
49,4165,245,17,4,3,3,3,4,3,2,0
50,2646,147,18,4,3,4,4,4,4,4,1
51,4450,178,25,4,3,4,3,4,4,3,1
52,1392,58,24,2,3,3,3,2,2,2,5
53,1776,74,24,2,2,3,3,2,2,1,5
54,2156,98,22,3,4,4,4,3,3,4,5
55,1976,104,19,4,4,4,4,4,3,3,5
56,1496,68,22,4,3,4,4,4,3,3,5
57,2162,94,23,4,3,4,2,4,3,4,5
58,2832,118,24,3,3,4,2,3,3,2,5
59,2850,114,25,3,3,3,2,3,4,2,5
60,1794,69,26,3,2,3,1,3,3,2,5
61,2688,84,32,2,2,3,1,2,3,2,5
62,4032,168,24,2,2,3,3,2,3,1,0
63,4536,189,24,2,3,4,4,2,3,1,0
64,3915,174,22.5,3,4,4,3,3,3,4,0
65,4708,214,22,4,3,4,2,4,3,3,0
66,6993,259,27,5,3,2,4,5,3,2,0
67,3864,168,23,2,3,2,3,2,3,2,2
68,4848,202,24,3,4,3,1,3,3,4,1
69,3654,174,21,4,4,3,3,4,3,2,1
70,4368,168,26,1,3,3,4,1,3,2,1
71,3128,184,17,4,3,4,4,4,3,1,1
72,3485,198,17.6,5,2,4,3,5,3,1,0
73,6604,254,26,3,3,4,4,3,3,2,0
74,5568,232,24,3,4,4,2,3,3,1,0
75,1044,58,18,2,2,3,2,2,3,3,5
76,2340,78,30,2,2,4,3,2,3,3,5
77,2444,94,26,1,3,4,3,1,4,3,5
78,1482,78,19,3,3,3,3,3,4,4,5
79,1443,74,19.5,3,3,3,4,3,4,4,5
80,1365,65,21,3,3,3,1,3,3,3,5
81,2156,98,22,4,3,4,2,4,3,3,1
82,2162,94,23,4,4,4,2,4,3,3,0
83,1258,74,17,4,4,4,3,4,4,3,0
84,1173,69,17,5,4,4,3,5,4,4,0
85,1098,61,18,3,4,5,4,3,2,3,0
86,1428,84,17,3,3,3,4,3,2,3,1
87,1584,88,18,3,3,3,3,3,3,3,1
88,1584,88,18,3,3,3,3,3,3,2,4
89,1656,72,23,3,2,2,3,3,3,1,4
90,2832,118,24,4,2,2,3,4,3,4,5
91,2256,94,24,4,3,3,2,4,3,4,5
92,2716,97,28,2,1,2,2,2,3,3,5
93,1768,68,26,2,1,3,3,2,4,3,5
94,1998,74,27,2,2,2,1,2,4,3,2
95,1985,81,24.51,3,3,3,2,3,3,4,2
96,1955,85,23,3,3,3,4,3,3,3,0
97,1840,80,23,3,2,4,3,3,3,3,0
98,3784,172,22,4,3,2,3,4,4,4,1
99,1932,84,23,2,3,4,3,2,3,4,5
100,1632,96,17,3,3,3,4,3,4,4,0
101,1666,98,17,3,3,3,4,3,4,4,0
102,1653,87,19,4,4,3,4,4,4,4,0
103,1472,64,23,2,4,4,5,2,4,2,0
104,1276,58,22,4,4,4,3,4,3,2,5
105,2162,94,23,4,3,3,3,4,3,3,5
106,2064,86,24,4,3,2,3,4,3,3,5
107,1454,57,25.51,3,3,4,2,3,5,3,5
108,1911,91,21,3,2,3,2,3,5,3,1
109,1110,74,15,3,2,3,4,3,4,2,1
110,3615,241,15,3,4,3,4,3,4,4,0
111,2632,188,14,2,3,3,3,2,4,4,0
112,3472,124,28,2,3,4,3,2,4,3,0
113,1734,102,17,5,2,2,4,5,3,3,5
114,2668,116,23,3,2,3,3,3,3,2,5
115,2832,118,24,3,3,3,3,3,3,4,5
116,4680,156,30,1,3,3,2,1,4,4,5
117,3060,170,18,4,2,3,3,4,4,1,5
118,6072,264,23,4,2,3,3,4,2,4,0
119,4081,154,26.5,3,1,3,3,3,4,3,2
