,project,actual_effort,size_ucp,F1,F2,F3,F4,F5,F6,F7,F8,cluster
96,93,1768,68,2,1,3,3,2,4,3,5,2
97,58,2832,118,3,3,4,2,3,3,2,5,3
98,60,1794,69,3,2,3,1,3,3,2,5,3
99,61,2688,84,2,2,3,1,2,3,2,5,3
100,88,1584,88,3,3,3,3,3,3,2,4,3
101,89,1656,72,3,2,2,3,3,3,1,4,3
102,114,2668,116,3,2,3,3,3,3,2,5,3
103,0,2124,118,2,2,2,2,2,3,4,0,4
104,5,2080,65,2,2,2,2,2,3,3,4,4
105,13,1553,135,2,1,3,1,2,3,3,0,4
106,17,2875,125,1,2,3,3,1,4,4,0,4
107,27,696,58,2,2,2,2,2,3,3,5,4
108,32,2871,87,2,3,4,3,2,3,3,5,4
109,52,1392,58,2,3,3,3,2,2,2,5,4
110,53,1776,74,2,2,3,3,2,2,1,5,4
111,67,3864,168,2,3,2,3,2,3,2,2,4
112,70,4368,168,1,3,3,4,1,3,2,1,4
113,75,1044,58,2,2,3,2,2,3,3,5,4
114,76,2340,78,2,2,4,3,2,3,3,5,4
115,77,2444,94,1,3,4,3,1,4,3,5,4
116,94,1998,74,2,2,2,1,2,4,3,2,4
117,99,1932,84,2,3,4,3,2,3,4,5,4
118,116,4680,156,1,3,3,2,1,4,4,5,4
